CaseID,MH1
32334,2008/2/1
33366,2002/7/1
33366,NA
33366,2003/12/1
58080,2007/1/1
29350,2002/7/1
29350,NA
29350,NA
29350,2013/4/1
29350,2013/4/1
29350,NA
29350,NA
54269,2014/12/1
34896,2006/7/1
62008,2002/7/1
50867,2009/1/1
61117,NA
60920,2002/7/1
61650,2016/8/1
31812,NA
61500,2002/8/1
58022,2006/6/1
30869,2002/7/1
29521,2003/8/1
29521,NA
29521,2014/5/1
29521,NA
29521,NA
57164,2005/8/1
29540,2004/5/1
29540,NA
29540,NA
29540,NA
60166,2005/3/1
32613,2015/12/1
48433,2014/6/1
55219,NA
54788,2002/7/1
33692,2003/2/1
61572,2006/1/1
29578,2008/5/1
29578,2008/6/1
29589,2011/7/1
29589,2009/7/1
29589,2009/6/1
29589,2008/2/1
29589,2007/5/1
29589,2011/12/1
60090,2002/7/1
29594,2002/7/1
31339,2006/7/1
55112,2006/8/1
56007,2004/11/1
59697,2002/7/1
61873,2012/1/1
29646,2008/2/1
29646,NA
29646,2007/9/1
29646,2006/12/1
29666,2002/7/1
29666,NA
29666,2014/7/1
29666,2009/12/1
29666,2013/11/1
29668,NA
29668,NA
29668,NA
29668,2002/7/1
29668,2009/2/1
29668,2007/7/1
29671,2002/7/1
29671,2012/1/1
35343,2005/2/1
61530,2004/5/1
32078,2003/1/1
35343,2008/8/1
51178,2007/12/1
33648,NA
56660,2005/5/1
51132,2002/7/1
59722,NA
29710,2006/1/1
29710,NA
29710,2002/7/1
29710,2002/9/1
29710,2005/10/1
29710,2009/6/1
29710,2008/6/1
62232,NA
61588,2002/7/1
61649,2002/7/1
29734,2003/6/1
29734,2007/6/1
29734,NA
29734,2012/11/1
29734,2011/7/1
29734,2012/11/1
29734,NA
61240,2007/3/1
59054,2002/7/1
31219,2009/11/1
60953,2007/12/1
33101,NA
53573,2008/11/1
61676,2007/4/1
59433,2002/7/1
29901,2002/7/1
58181,2015/6/1
29913,2002/7/1
29913,NA
29913,NA
61443,2006/1/1
51306,2016/6/1
42009,2002/7/1
29710,NA
31812,2004/4/1
61022,2005/3/1
61037,NA
29935,2004/3/1
29935,2009/6/1
61338,NA
29968,2002/7/1
29968,2002/7/1
31368,2002/7/1
29980,NA
29980,NA
29980,NA
29980,NA
30648,2002/11/1
30788,NA
30943,2005/9/1
61253,2004/6/1
51132,2004/8/1
31795,2003/1/1
31520,2005/4/1
60731,NA
61708,2003/1/1
61014,2010/5/1
30100,2011/7/1
30100,2013/5/1
58735,2002/7/1
58347,2010/3/1
61420,NA
58347,NA
58347,NA
58347,NA
62293,2002/7/1
49447,2014/6/1
59384,2006/5/1
30151,2002/11/1
30151,NA
30151,2006/11/1
30151,2008/11/1
59679,2004/8/1
60895,2002/7/1
30163,2008/6/1
30163,2005/6/1
49016,NA
61110,2003/12/1
61023,2011/2/1
30171,2008/10/1
30171,NA
30171,2009/5/1
30171,2008/10/1
32274,NA
33301,2005/5/1
61732,2005/11/1
60334,2008/9/1
30249,2005/9/1
30249,2008/2/1
30249,NA
57630,2008/7/1
60710,2005/5/1
61457,2006/7/1
61714,2011/1/1
34082,2002/7/1
61986,NA
48717,2005/9/1
33342,2002/7/1
61073,NA
62288,2005/11/1
51908,NA
60166,2006/4/1
30342,2007/2/1
30342,2007/12/1
30342,2003/1/1
30342,2006/11/1
30342,NA
30342,NA
54207,2002/7/1
30346,2002/7/1
30346,NA
34279,2011/11/1
61973,2004/12/1
55335,2003/6/1
61528,NA
30368,2010/8/1
30368,2016/8/1
59384,2003/12/1
62277,2010/12/1
30383,NA
60883,2011/4/1
58451,2013/11/1
60090,2002/7/1
30442,NA
30442,NA
30442,2009/3/1
30444,NA
30444,2002/7/1
30444,2013/11/1
30444,NA
30444,NA
30452,2002/7/1
30452,2006/1/1
30452,2011/7/1
30452,2002/7/1
30452,2005/8/1
31999,2007/1/1
61985,2010/5/1
30495,2016/10/1
30495,2008/9/1
30495,2004/1/1
30495,2009/8/1
55600,2002/7/1
30516,2002/7/1
48756,NA
47767,2002/7/1
60921,2002/7/1
58463,2002/7/1
30572,2002/7/1
62064,2007/6/1
62132,2011/7/1
61145,NA
58381,NA
30645,2003/12/1
30645,2008/4/1
30645,2006/1/1
30645,2006/4/1
30645,NA
30645,NA
30648,NA
36008,NA
47089,NA
49740,2002/7/1
49740,2002/7/1
49740,2010/9/1
51950,NA
30701,NA
31779,2005/6/1
52947,NA
30737,2002/8/1
30737,2011/3/1
30737,2002/7/1
30737,2003/5/1
30737,2008/2/1
30743,NA
30747,2007/12/1
30772,2003/4/1
30779,2016/5/1
30779,2004/7/1
30779,2010/4/1
61214,2008/8/1
59476,NA
60930,2006/9/1
61308,2005/8/1
56725,2003/10/1
30869,NA
30869,NA
30869,2009/7/1
30869,2003/12/1
30869,2002/7/1
61414,2002/7/1
60735,NA
30901,2010/2/1
30902,2007/12/1
30902,NA
30902,NA
30902,2006/4/1
30902,NA
30905,NA
30905,2007/8/1
30905,NA
30905,2010/3/1
30368,NA
30943,NA
30943,2011/9/1
61911,2005/9/1
29646,NA
30990,2006/1/1
30990,2007/3/1
30990,2014/7/1
30990,2015/11/1
61328,2009/6/1
49680,2005/5/1
61074,2004/2/1
31041,2005/12/1
31052,2016/6/1
31052,NA
31052,NA
31053,NA
50867,NA
50867,2012/9/1
60839,2002/7/1
54390,2002/9/1
54390,2006/6/1
61616,NA
62090,2005/6/1
31119,2015/9/1
31119,2016/4/1
31119,NA
31119,NA
31523,2008/9/1
61025,NA
61025,NA
61025,2012/4/1
61571,2002/7/1
48805,2010/4/1
57972,2012/10/1
31652,2002/7/1
31188,2002/7/1
31197,2005/5/1
31197,2008/7/1
31209,2002/7/1
50985,2002/11/1
61347,2007/9/1
59093,2004/10/1
61914,2013/12/1
61900,2008/10/1
31285,2003/12/1
31285,2007/4/1
31285,2004/2/1
31285,2002/7/1
32542,2002/7/1
31314,2005/3/1
31314,2016/5/1
35460,2002/7/1
31316,2009/4/1
31316,NA
31316,2007/6/1
31339,2002/7/1
31339,2012/4/1
31341,2004/9/1
31341,2004/9/1
31341,2007/2/1
61309,2008/3/1
31368,2012/1/1
31368,2012/6/1
60090,2012/12/1
32091,2006/4/1
54814,2002/7/1
54814,2003/3/1
54814,2008/8/1
31661,2004/4/1
61575,2003/2/1
61067,NA
61262,NA
31520,2009/3/1
31520,NA
31520,NA
31520,NA
61286,2014/5/1
31524,2003/10/1
31524,2011/7/1
31540,2003/6/1
31540,2013/7/1
58379,2003/12/1
50545,2009/1/1
31600,2003/8/1
31600,2002/7/1
31600,2008/7/1
31610,2002/7/1
31610,2011/7/1
55198,2002/7/1
31652,NA
31659,NA
31659,NA
31659,2012/4/1
31661,NA
31661,NA
31683,NA
31707,2006/7/1
31718,2002/7/1
31718,NA
31718,2002/7/1
31718,2008/8/1
61651,2012/1/1
31779,2002/7/1
31779,2015/6/1
31795,NA
31796,2002/11/1
31796,2013/11/1
31812,2017/1/1
59054,NA
31835,NA
31835,2016/6/1
31835,2014/7/1
31837,2008/4/1
31837,NA
31837,NA
31837,NA
31853,2008/6/1
31853,NA
31853,NA
31856,NA
31856,NA
31856,2008/6/1
31856,2008/6/1
31856,2011/9/1
31856,2011/9/1
31869,2002/7/1
31884,2002/7/1
31884,2012/4/1
31942,2003/10/1
31978,2007/4/1
31978,NA
31978,2016/12/1
31978,2012/1/1
31978,2016/12/1
31999,NA
32007,2012/12/1
32007,2012/6/1
32048,2006/11/1
32048,2006/3/1
32078,NA
32078,2015/2/1
32091,2014/5/1
32095,2003/1/1
32095,2013/9/1
32095,NA
32095,2014/9/1
48810,NA
32124,2008/10/1
32124,2013/7/1
59592,2016/5/1
59592,2010/4/1
30779,2011/2/1
32274,NA
52343,2012/4/1
32397,2002/7/1
60410,2002/7/1
32478,2007/9/1
32478,NA
32478,2016/2/1
32478,2016/8/1
32542,2011/7/1
32542,NA
32542,2011/11/1
34341,2003/12/1
32604,2003/10/1
32604,2005/1/1
31368,2002/7/1
32659,2002/7/1
32659,NA
32716,2015/2/1
48241,2013/12/1
33598,2011/7/1
33598,NA
33598,2002/7/1
33598,2014/4/1
32945,2008/2/1
32945,NA
32945,NA
32945,2012/12/1
32945,NA
59899,2006/4/1
48665,NA
48665,NA
61701,2004/8/1
61701,2010/7/1
33820,NA
33820,NA
33820,NA
51650,NA
32095,NA
58787,2002/7/1
49410,NA
60205,2016/9/1
61348,2003/8/1
32902,2009/8/1
32902,NA
32902,2002/7/1
61100,2011/12/1
48241,NA
61136,NA
53205,2013/7/1
53205,2012/2/1
53205,2013/1/1
53205,2013/7/1
53205,2004/4/1
53205,NA
62087,2002/7/1
49634,2009/4/1
49634,NA
49634,NA
49634,NA
49634,NA
49634,2014/4/1
60995,NA
48810,2011/11/1
48810,NA
62409,2004/8/1
62409,NA
62409,2012/6/1
62409,NA
62409,NA
62144,2016/12/1
62144,2009/7/1
61295,2008/9/1
35292,2013/10/1
59605,2008/2/1
54874,NA
58998,2002/7/1
58998,NA
54125,NA
54125,NA
49662,NA
49662,2011/1/1
49662,2008/10/1
49662,NA
29668,2002/7/1
29668,NA
60180,2002/7/1
55504,2008/5/1
32993,2005/4/1
49678,2002/7/1
49678,NA
29968,2013/2/1
49680,NA
49680,2012/7/1
49680,NA
49680,NA
30869,2016/3/1
53561,2004/11/1
53561,2014/1/1
48526,2002/7/1
35045,NA
55133,2009/11/1
62189,2003/12/1
62189,NA
62189,2011/7/1
33349,2016/10/1
33349,2010/5/1
33349,NA
33349,2013/4/1
30383,NA
49689,NA
49689,NA
49689,NA
49689,2016/11/1
35095,2004/3/1
30737,2002/9/1
53575,2002/7/1
53575,2016/2/1
53575,2010/4/1
53575,2013/8/1
53575,NA
59883,2003/12/1
32086,NA
61952,2008/10/1
61952,2002/7/1
61400,2011/9/1
47655,2008/4/1
62199,NA
31119,NA
61889,2009/6/1
61889,2005/1/1
61889,NA
61889,2013/5/1
61889,2013/5/1
57972,2016/6/1
57972,2004/1/1
34154,2012/6/1
61064,2002/7/1
31052,NA
59162,2002/7/1
61889,2013/5/1
33700,NA
33700,2007/7/1
33700,NA
33700,NA
33098,NA
60970,NA
60970,NA
60970,2015/11/1
48256,NA
48256,NA
48256,2016/12/1
47089,NA
55236,2009/10/1
55236,NA
55236,2014/3/1
50199,NA
30368,2004/1/1
30368,2014/12/1
61083,2002/7/1
60414,NA
61681,2003/12/1
61681,2012/2/1
61681,NA
61179,2002/7/1
31856,NA
60700,2010/12/1
61192,2003/1/1
34319,2003/12/1
34319,2010/6/1
59815,2003/11/1
33197,2007/12/1
33197,2011/11/1
33197,NA
33197,NA
33648,2016/9/1
33139,NA
30747,NA
30747,2009/11/1
59798,2009/7/1
59798,NA
37967,2008/5/1
31772,2005/3/1
57870,2016/2/1
29003,NA
58022,NA
34193,NA
34193,NA
34193,NA
34193,NA
34193,NA
34193,NA
34193,NA
55993,2012/6/1
30452,2015/2/1
33255,2011/9/1
33255,2003/4/1
33255,2011/6/1
33255,2011/9/1
32801,2010/3/1
32801,NA
60741,2012/1/1
62124,2009/12/1
61179,2002/7/1
61179,2016/4/1
50644,2007/8/1
50644,2006/11/1
50644,NA
50644,2006/5/1
55525,2013/7/1
61869,2009/5/1
41622,2008/12/1
60706,2003/2/1
59093,2004/10/1
31772,2013/11/1
29350,2005/6/1
29350,2005/6/1
61445,2006/7/1
52302,2012/8/1
60700,NA
55133,2002/7/1
